time	V(vo)
0.000000000000000e+000	1.104632e+000
1.455227678460299e-005	1.104649e+000
2.910455356920599e-005	1.104665e+000
4.365683035380898e-005	1.104681e+000
5.820910713841197e-005	1.104696e+000
7.276138392301497e-005	1.104710e+000
8.731366070761795e-005	1.104723e+000
1.018659374922209e-004	1.104736e+000
1.236293303493638e-004	1.104753e+000
1.453927232065067e-004	1.104769e+000
1.671561160636495e-004	1.104781e+000
1.889195089207924e-004	1.104790e+000
2.106829017779353e-004	1.104797e+000
2.324462946350782e-004	1.104801e+000
2.542096874922210e-004	1.104802e+000
2.752755357065067e-004	1.104799e+000
2.963413839207925e-004	1.104794e+000
3.174072321350782e-004	1.104786e+000
3.384730803493640e-004	1.104775e+000
3.595389285636497e-004	1.104762e+000
3.806047767779355e-004	1.104747e+000
4.016706249922211e-004	1.104729e+000
4.164585714207926e-004	1.104715e+000
4.312465178493640e-004	1.104701e+000
4.460344642779355e-004	1.104687e+000
4.608224107065069e-004	1.104672e+000
4.756103571350784e-004	1.104656e+000
4.903983035636498e-004	1.104641e+000
5.051862499922212e-004	1.104625e+000
5.206717410636498e-004	1.104608e+000
5.361572321350783e-004	1.104592e+000
5.516427232065069e-004	1.104576e+000
5.671282142779355e-004	1.104561e+000
5.826137053493642e-004	1.104547e+000
5.980991964207928e-004	1.104533e+000
6.135846874922213e-004	1.104520e+000
6.399518749922213e-004	1.104500e+000
6.663190624922213e-004	1.104484e+000
6.926862499922213e-004	1.104473e+000
7.190534374922214e-004	1.104466e+000
7.454206249922215e-004	1.104463e+000
7.717878124922214e-004	1.104465e+000
7.981549999922214e-004	1.104471e+000
8.174072321350786e-004	1.104479e+000
8.366594642779358e-004	1.104489e+000
8.559116964207930e-004	1.104501e+000
8.751639285636501e-004	1.104514e+000
8.944161607065072e-004	1.104529e+000
9.136683928493644e-004	1.104546e+000
9.329206249922216e-004	1.104565e+000
9.398960714207930e-004	1.104572e+000
9.468715178493643e-004	1.104579e+000
9.538469642779357e-004	1.104586e+000
9.608224107065070e-004	1.104593e+000
9.677978571350784e-004	1.104601e+000
9.747733035636498e-004	1.104608e+000
9.817487499922211e-004	1.104615e+000
9.827253124922210e-004	1.104616e+000
9.993268749922191e-004	1.104634e+000
1.000000000000000e-003	1.104635e+000
